# lambda               TRANSMISSION   
  917.4312247680954    1.4449648E-8   
  913.2420250399172    1.8055944E-8   
  909.0909090909091    1.3639754E-9   
  904.97735994473      1.1858216E-9   
  900.9008699399631    1.3862665E-9   
  896.861017230971     1.7470072E-9   
  892.8571580624097    1.3797934E-9   
  888.8888888888889    1.5679046E-9   
  884.955737275052     2.794997E-9    
  881.057239110426     2.4542626E-9   
  873.3624599633773    1.8466686E-9   
  869.5652173913043    4.4542063E-9   
  865.8008515031681    1.4143297E-8   
  862.0689371678274    1.5957212E-8   
  858.3691268190418    1.1394543E-8   
  854.700868634295     1.6155438E-9   
  851.063829787234     4.1890837E-9   
  847.4576134203634    4.427455E-9    
  843.8818293742303    4.0125827E-9   
  833.3333333333333    3.5668697E-9   
  823.0452933306059    1.1761471E-9   
  819.6721439622995    2.8155875E-9   
  809.716574179566     1.4312028E-9   
  800.0                1.0813391E-9   
  796.8127368940264    1.6764615E-9   
  790.5138578306012    2.3064355E-9   
  787.4015866287349    5.738743E-9    
  784.313725490196     4.7951225E-9   
  781.2499883584679    2.770394E-9    
  778.2100936292926    2.8884053E-9   
  775.1938213730989    1.3119039E-9   
  772.2007835741784    1.3069655E-9   
  769.2307692307693    1.4024523E-9   
  766.2835137044459    1.4721556E-9   
  763.3587563970797    1.5460259E-9   
  757.5757685224327    1.2062308E-9   
